"測站","日期","測項","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
竹山,2023/11/05,PM2.5,22,18,21,22,15,18,17,16,21,16,13,9,13,12,19,26,24,32,29,26,30,28,27,24
竹山,2023/11/06,PM2.5,24,21,22,20,19,22,21,14,21,13,9,12,13,12,20,19,22,25,32,27,25,28,29,31
竹山,2023/11/07,PM2.5,26,30,27,28,30,24,31,25,22,30,41,45,46,43,45,41,32,26,29,33,36,29,28,35
竹山,2023/11/08,PM2.5,29,32,32,27,25,25,25,22,20,35,#,32,36,#,29,35,43,55,46,47,41,42,40,39
竹山,2023/11/09,PM2.5,40,35,37,36,36,34,33,24,31,33,30,36,31,39,46,45,47,36,37,29,32,32,37,35
竹山,2023/11/10,PM2.5,38,29,25,28,28,20,21,34,24,16,19,20,20,23,21,12,17,25,24,23,17,25,22,21
竹山,2023/11/11,PM2.5,14,13,10,9,12,10,13,18,16,12,15,18,16,22,24,22,28,27,45,43,33,19,15,15
竹山,2023/11/12,PM2.5,15,11,11,12,13,17,13,11,11,10,12,19,26,16,13,10,13,15,16,13,13,7,6,11
竹山,2023/11/13,PM2.5,9,6,6,4,3,6,9,7,9,8,18,15,15,22,21,17,15,16,17,16,16,12,15,16
竹山,2023/11/14,PM2.5,15,19,17,20,20,18,20,18,17,21,16,19,23,25,32,49,25,27,24,19,21,19,19,15
竹山,2023/11/15,PM2.5,25,22,19,25,23,24,22,25,33,30,26,20,25,33,32,40,36,33,33,28,25,25,24,27
竹山,2023/11/16,PM2.5,24,25,26,27,27,30,30,23,19,16,14,10,9,#,23,25,21,19,19,25,14,7,4,6
竹山,2023/11/17,PM2.5,10,6,8,11,15,13,13,14,17,19,16,15,18,18,24,24,23,31,25,33,29,29,25,25
竹山,2023/11/18,PM2.5,24,27,27,27,23,22,17,19,19,14,20,21,26,32,29,30,37,36,34,32,28,29,27,27
竹山,2023/11/19,PM2.5,24,22,26,24,29,21,25,25,27,23,21,20,30,36,36,51,31,36,37,33,33,25,21,21
竹山,2023/11/20,PM2.5,16,18,25,25,24,26,23,21,26,25,21,20,21,20,19,39,35,38,38,33,36,27,31,25
竹山,2023/11/21,PM2.5,29,26,26,24,21,25,20,21,26,19,15,19,15,#,19,29,30,30,38,32,34,28,30,30
竹山,2023/11/22,PM2.5,30,23,27,23,22,23,22,21,24,18,12,19,18,14,19,27,44,47,41,47,48,46,42,34
竹山,2023/11/23,PM2.5,34,27,32,28,23,24,21,24,18,21,18,16,16,24,33,23,16,26,30,29,26,24,27,24
竹山,2023/11/24,PM2.5,23,22,19,25,24,19,21,20,19,24,23,25,35,32,36,47,38,36,35,38,34,39,36,35
竹山,2023/11/25,PM2.5,33,32,29,29,29,33,30,34,33,26,36,36,35,32,34,33,36,32,31,27,36,33,31,29
竹山,2023/11/26,PM2.5,30,29,30,29,29,26,18,22,20,22,23,31,32,25,23,29,32,33,17,14,19,16,22,25
竹山,2023/11/27,PM2.5,43,32,28,32,31,23,27,41,23,22,18,25,29,32,28,26,26,34,39,28,31,27,23,23
竹山,2023/11/28,PM2.5,22,21,19,25,21,21,18,24,14,21,23,27,23,23,29,29,29,40,34,42,35,44,34,30
竹山,2023/11/29,PM2.5,26,31,28,25,26,25,25,27,25,21,#,27,25,42,40,40,29,26,30,32,36,27,36,31
竹山,2023/11/30,PM2.5,19,27,26,25,27,30,26,27,29,23,27,29,16,32,33,30,28,29,30,33,30,24,25,18
竹山,2023/12/01,PM2.5,20,22,19,18,14,16,13,10,12,15,16,17,22,#,22,20,14,13,30,13,13,12,11,11
竹山,2023/12/02,PM2.5,14,14,10,12,10,9,11,9,8,15,21,31,30,33,34,38,22,27,27,31,28,31,26,30
竹山,2023/12/03,PM2.5,30,26,25,18,24,22,25,25,24,32,32,41,50,40,37,36,30,31,32,31,19,17,22,20
竹山,2023/12/04,PM2.5,24,25,21,19,21,22,22,23,21,25,15,9,10,11,9,8,8,4,5,9,8,5,5,5
竹山,2023/12/05,PM2.5,5,9,13,18,10,12,12,13,11,9,#,12,16,22,24,20,18,17,25,18,20,25,16,21
竹山,2023/12/06,PM2.5,26,29,23,25,26,25,29,25,33,33,37,39,46,42,31,27,33,26,32,28,22,24,26,26
竹山,2023/12/07,PM2.5,22,15,16,14,17,19,19,16,15,27,14,17,22,23,24,23,25,33,30,30,32,29,28,27
竹山,2023/12/08,PM2.5,26,32,26,23,25,17,20,23,24,25,15,23,19,23,32,57,54,48,51,50,42,43,36,35
竹山,2023/12/09,PM2.5,28,34,30,19,23,20,24,21,22,9,16,8,11,24,26,38,23,38,31,40,24,25,21,19
