,date,time,pm_val
406,2023/09/18,22,13
407,2023/09/18,23,14
408,2023/09/19,0,11
409,2023/09/19,1,12
410,2023/09/19,2,15
411,2023/09/19,3,13
412,2023/09/19,4,12
413,2023/09/19,5,12
414,2023/09/19,6,11
415,2023/09/19,7,15
416,2023/09/19,8,17
417,2023/09/19,9,26
418,2023/09/19,10,21
419,2023/09/19,11,17
420,2023/09/19,12,19
421,2023/09/19,13,23
422,2023/09/19,14,28
423,2023/09/19,15,42
424,2023/09/19,16,21
425,2023/09/19,17,18
426,2023/09/19,18,16
427,2023/09/19,19,14
428,2023/09/19,20,18
429,2023/09/19,21,16
430,2023/09/19,22,15
431,2023/09/19,23,13
432,2023/09/20,0,16
433,2023/09/20,1,18
434,2023/09/20,2,17
435,2023/09/20,3,18
436,2023/09/20,4,19
437,2023/09/20,5,13
438,2023/09/20,6,18
439,2023/09/20,7,24
440,2023/09/20,8,15
441,2023/09/20,9,17
442,2023/09/20,10,14
443,2023/09/20,11,18
444,2023/09/20,12,22
445,2023/09/20,13,18
446,2023/09/20,14,19
447,2023/09/20,15,24
448,2023/09/20,16,27
449,2023/09/20,17,21
450,2023/09/20,18,23
451,2023/09/20,19,22
452,2023/09/20,20,21
453,2023/09/20,21,23
454,2023/09/20,22,16
455,2023/09/20,23,17
456,2023/09/21,0,16
457,2023/09/21,1,19
458,2023/09/21,2,17
459,2023/09/21,3,16
460,2023/09/21,4,19
461,2023/09/21,5,19
462,2023/09/21,6,21
463,2023/09/21,7,21
464,2023/09/21,8,17
465,2023/09/21,9,15
466,2023/09/21,10,9
467,2023/09/21,11,13
468,2023/09/21,12,18
469,2023/09/21,13,24
470,2023/09/21,14,21
471,2023/09/21,15,19
472,2023/09/21,16,19
473,2023/09/21,17,18
474,2023/09/21,18,26
475,2023/09/21,19,31
476,2023/09/21,20,28
477,2023/09/21,21,24
478,2023/09/21,22,22
479,2023/09/21,23,22
480,2023/09/22,0,19
481,2023/09/22,1,22
482,2023/09/22,2,20
483,2023/09/22,3,19
484,2023/09/22,4,16
485,2023/09/22,5,22
486,2023/09/22,6,21
487,2023/09/22,7,19
488,2023/09/22,8,20
489,2023/09/22,9,20
490,2023/09/22,10,20
491,2023/09/22,11,19
492,2023/09/22,12,22
493,2023/09/22,13,26
494,2023/09/22,14,20
495,2023/09/22,15,20
496,2023/09/22,16,20
497,2023/09/22,17,20
498,2023/09/22,18,28
499,2023/09/22,19,25
500,2023/09/22,20,17
501,2023/09/22,21,23
502,2023/09/22,22,21
503,2023/09/22,23,21
504,2023/09/23,0,16
505,2023/09/23,1,17
506,2023/09/23,2,16
507,2023/09/23,3,17
508,2023/09/23,4,14
509,2023/09/23,5,18
510,2023/09/23,6,18
511,2023/09/23,7,19
512,2023/09/23,8,18
513,2023/09/23,9,19
514,2023/09/23,10,22
515,2023/09/23,11,24
516,2023/09/23,12,25
517,2023/09/23,13,27
518,2023/09/23,14,38
519,2023/09/23,15,44
520,2023/09/23,16,34
521,2023/09/23,17,29
522,2023/09/23,18,16
523,2023/09/23,19,15
524,2023/09/23,20,15
525,2023/09/23,21,15
526,2023/09/23,22,14
527,2023/09/23,23,15
528,2023/09/24,0,13
529,2023/09/24,1,12
530,2023/09/24,2,17
531,2023/09/24,3,15
532,2023/09/24,4,16
533,2023/09/24,5,21
534,2023/09/24,6,14
535,2023/09/24,7,17
536,2023/09/24,8,19
537,2023/09/24,9,16
538,2023/09/24,10,11
539,2023/09/24,11,11
540,2023/09/24,12,14
541,2023/09/24,13,10
542,2023/09/24,14,14
543,2023/09/24,15,19
544,2023/09/24,16,22
545,2023/09/24,17,28
546,2023/09/24,18,13
547,2023/09/24,19,14
548,2023/09/24,20,12
549,2023/09/24,21,12
550,2023/09/24,22,16
551,2023/09/24,23,16
552,2023/09/25,0,18
553,2023/09/25,1,17
554,2023/09/25,2,17
555,2023/09/25,3,17
556,2023/09/25,4,14
557,2023/09/25,5,17
558,2023/09/25,6,18
559,2023/09/25,7,20
560,2023/09/25,8,17
561,2023/09/25,9,14
562,2023/09/25,10,17
563,2023/09/25,11,15
564,2023/09/25,12,15
565,2023/09/25,13,16
566,2023/09/25,14,21
567,2023/09/25,15,32
568,2023/09/25,16,19
569,2023/09/25,17,25
570,2023/09/25,18,30
571,2023/09/25,19,24
572,2023/09/25,20,23
573,2023/09/25,21,21
574,2023/09/25,22,17
575,2023/09/25,23,23
576,2023/09/26,0,20
577,2023/09/26,1,17
578,2023/09/26,2,16
579,2023/09/26,3,16
580,2023/09/26,4,19
581,2023/09/26,5,15
582,2023/09/26,6,20
583,2023/09/26,7,16
584,2023/09/26,8,21
585,2023/09/26,9,13
586,2023/09/26,10,13
587,2023/09/26,11,19
588,2023/09/26,12,14
589,2023/09/26,13,18
590,2023/09/26,14,23
591,2023/09/26,15,28
592,2023/09/26,16,22
593,2023/09/26,17,25
594,2023/09/26,18,27
595,2023/09/26,19,27
596,2023/09/26,20,26
597,2023/09/26,21,26
598,2023/09/26,22,25
599,2023/09/26,23,25
600,2023/09/27,0,22
601,2023/09/27,1,19
602,2023/09/27,2,17
603,2023/09/27,3,24
604,2023/09/27,4,22
605,2023/09/27,5,16
606,2023/09/27,6,21
607,2023/09/27,7,21
608,2023/09/27,8,20
609,2023/09/27,9,20
610,2023/09/27,10,23
611,2023/09/27,11,21
612,2023/09/27,12,23
613,2023/09/27,13,21
614,2023/09/27,14,25
615,2023/09/27,15,30
616,2023/09/27,16,32
617,2023/09/27,17,24
618,2023/09/27,18,19
619,2023/09/27,19,14
620,2023/09/27,20,13
621,2023/09/27,21,16
622,2023/09/27,22,13
623,2023/09/27,23,19
624,2023/09/28,0,12
625,2023/09/28,1,18
626,2023/09/28,2,14
627,2023/09/28,3,14
628,2023/09/28,4,13
629,2023/09/28,5,16
630,2023/09/28,6,16
631,2023/09/28,7,17
632,2023/09/28,8,11
633,2023/09/28,9,16
634,2023/09/28,10,22
635,2023/09/28,11,22
636,2023/09/28,12,24
637,2023/09/28,13,27
638,2023/09/28,14,16
639,2023/09/28,15,15
640,2023/09/28,16,15
641,2023/09/28,17,16
642,2023/09/28,18,15
643,2023/09/28,19,11
644,2023/09/28,20,16
645,2023/09/28,21,16
646,2023/09/28,22,13
647,2023/09/28,23,20
648,2023/09/29,0,14
649,2023/09/29,1,13
650,2023/09/29,2,13
651,2023/09/29,3,12
652,2023/09/29,4,15
653,2023/09/29,5,17
654,2023/09/29,6,18
655,2023/09/29,7,17
656,2023/09/29,8,21
657,2023/09/29,9,12
658,2023/09/29,10,18
659,2023/09/29,11,21
660,2023/09/29,12,25
661,2023/09/29,13,27
662,2023/09/29,14,24
663,2023/09/29,15,20
664,2023/09/29,16,21
665,2023/09/29,17,23
666,2023/09/29,18,23
667,2023/09/29,19,31
668,2023/09/29,20,27
669,2023/09/29,21,35
670,2023/09/29,22,31
671,2023/09/29,23,30
672,2023/09/30,0,20
673,2023/09/30,1,19
674,2023/09/30,2,22
675,2023/09/30,3,22
676,2023/09/30,4,23
677,2023/09/30,5,19
678,2023/09/30,6,21
679,2023/09/30,7,27
680,2023/09/30,8,29
681,2023/09/30,9,24
682,2023/09/30,10,19
683,2023/09/30,11,25
684,2023/09/30,12,28
685,2023/09/30,13,33
686,2023/09/30,14,31
687,2023/09/30,15,26
688,2023/09/30,16,24
689,2023/09/30,17,25
690,2023/09/30,18,25
691,2023/09/30,19,38
692,2023/09/30,20,29
693,2023/09/30,21,27
694,2023/09/30,22,29
695,2023/09/30,23,29
696,2023/10/01,0,23
697,2023/10/01,1,23
698,2023/10/01,2,25
699,2023/10/01,3,23
700,2023/10/01,4,23
701,2023/10/01,5,22
702,2023/10/01,6,20
703,2023/10/01,7,25
704,2023/10/01,8,19
705,2023/10/01,9,21
706,2023/10/01,10,22
707,2023/10/01,11,28
708,2023/10/01,12,32
709,2023/10/01,13,31
710,2023/10/01,14,26
711,2023/10/01,15,23
712,2023/10/01,16,20
713,2023/10/01,17,19
714,2023/10/01,18,21
715,2023/10/01,19,24
716,2023/10/01,20,17
717,2023/10/01,21,21
718,2023/10/01,22,17
719,2023/10/01,23,19
720,2023/10/02,0,23
721,2023/10/02,1,14
722,2023/10/02,2,17
723,2023/10/02,3,11
724,2023/10/02,4,18
725,2023/10/02,5,16
726,2023/10/02,6,20
727,2023/10/02,7,16
728,2023/10/02,8,20
729,2023/10/02,9,16
730,2023/10/02,10,16
731,2023/10/02,11,21
732,2023/10/02,12,22
733,2023/10/02,13,15
734,2023/10/02,14,18
735,2023/10/02,15,23
736,2023/10/02,16,21
737,2023/10/02,17,23
738,2023/10/02,18,24
739,2023/10/02,19,19
740,2023/10/02,20,20
741,2023/10/02,21,15
742,2023/10/02,22,15
743,2023/10/02,23,14
744,2023/10/03,0,12
745,2023/10/03,1,13
746,2023/10/03,2,13
747,2023/10/03,3,14
748,2023/10/03,4,17
749,2023/10/03,5,12
750,2023/10/03,6,17
751,2023/10/03,7,18
